"work_year","job_title","company_size","employment_type","avg_salary_EN","avg_salary_MI","avg_salary_SE","avg_salary_EX"
2020,"AI Scientist","S","FT",45896,NA,NA,NA
2020,"Azure Data Engineer","S","FT",1e+05,NA,NA,NA
2020,"BI Data Analyst","M","FT",NA,98000,NA,NA
2020,"Big Data Engineer","L","FT",70000,NA,NA,NA
2020,"Big Data Engineer","M","FT",NA,NA,109024,NA
2020,"Big Data Engineer","S","FT",NA,NA,114047,NA
2020,"Business Data Analyst","L","CT",1e+05,NA,NA,NA
2020,"Business Data Analyst","L","FT",NA,135000,NA,NA
2020,"Business Data Analyst","M","FT",NA,95000,NA,NA
2020,"Computer Vision Engineer","S","FL",NA,NA,60000,NA
2020,"Data Analyst","L","FT",70299.6666666667,65879.5,NA,NA
2020,"Data Analyst","M","FT",22809,NA,NA,NA
2020,"Data Engineer","L","FT",54742,94628.2,117949.5,79833
2020,"Data Engineer","S","FT",41689,59303,33511,NA
2020,"Data Engineer","M","FT",NA,130800,NA,NA
2020,"Data Scientist","M","FT",39916,98375.3333333333,190200,NA
2020,"Data Scientist","S","FT",67078.75,56910.25,91237,NA
2020,"Data Scientist","S","PT",21669,NA,NA,NA
2020,"Data Scientist","L","FT",NA,72809.8,200142.666666667,312500
2020,"Lead Data Analyst","L","FT",NA,87000,NA,NA
2020,"Lead Data Engineer","M","FT",NA,56000,NA,NA
2020,"Lead Data Engineer","S","FT",NA,NA,125000,NA
2020,"Lead Data Scientist","L","FT",NA,115000,NA,NA
2020,"Lead Data Scientist","S","FT",NA,NA,190000,NA
2020,"Machine Learning Engineer","L","FT",250000,NA,150000,NA
2020,"Machine Learning Engineer","S","FT",138000,NA,45618,NA
2020,"Machine Learning Engineer","S","PT",15966,NA,NA,NA
2020,"Machine Learning Infrastructure Engineer","M","FT",NA,50180,NA,NA
2020,"Machine Learning Manager","L","FT",NA,NA,117104,NA
2020,"Machine Learning Scientist","S","FT",NA,NA,260000,NA
2020,"Principal Data Scientist","M","FT",NA,NA,148261,NA
2020,"Product Data Analyst","S","FT",NA,20000,NA,NA
2020,"Research Scientist","L","FT",42000,NA,NA,NA
2020,"Research Scientist","M","FT",NA,450000,NA,NA
2020,"Sales Data Analyst","M","CT",NA,60000,NA,NA
2020,"Staff Data Analyst","L","CT",44753,NA,NA,NA
2020,"Staff Data Analyst","M","FT",NA,NA,NA,15000
2020,"Staff Data Scientist","M","FT",NA,NA,164000,NA
2021,"AI Scientist","S","FT",18053,30000,NA,NA
2021,"AI Scientist","L","FT",NA,NA,55000,NA
2021,"Applied Data Scientist","L","FT",110037,54238,NA,NA
2021,"Applied Machine Learning Scientist","L","FT",NA,423000,NA,NA
2021,"Applied Machine Learning Scientist","M","FT",NA,38400,NA,NA
2021,"Autonomous Vehicle Technician","M","FL",NA,45555,NA,NA
2021,"BI Data Analyst","S","FT",55000,NA,NA,NA
2021,"BI Data Analyst","L","FT",NA,36259,NA,150000
2021,"BI Data Analyst","M","FT",NA,1e+05,NA,NA
2021,"Big Data Architect","M","FT",NA,NA,99703,NA
2021,"Big Data Engineer","L","FT",16228,22611,NA,NA
2021,"Big Data Engineer","M","FT",NA,60000,NA,NA
2021,"Big Data Engineer","S","FT",NA,18000,NA,NA
2021,"Business Data Analyst","L","FT",59102,NA,NA,NA
2021,"Business Data Analyst","M","PT",NA,56000,NA,NA
2021,"Cloud Data Architect","L","FT",NA,NA,250000,NA
2021,"Cloud Data Engineer","L","FT",NA,89294,NA,NA
2021,"Cloud Data Engineer","S","FT",NA,NA,160000,NA
2021,"Computer Vision Engineer","S","PT",28609,NA,NA,NA
2021,"Computer Vision Engineer","M","FT",NA,NA,21453.5,NA
2021,"Computer Vision Software Engineer","L","PT",19073,NA,NA,NA
2021,"Computer Vision Software Engineer","M","FT",70000,NA,NA,NA
2021,"Computer Vision Software Engineer","S","FT",NA,95746,NA,NA
2021,"Data Analyst","L","FT",42028,73346.1428571429,131915.5,NA
2021,"Data Analyst","M","FT",63034,90000,71786,NA
2021,"Data Analyst","S","FT",75000,NA,81666.6666666667,NA
2021,"Data Analytics Engineer","L","FT",NA,110000,79197,NA
2021,"Data Analytics Engineer","M","FT",NA,NA,50000,NA
2021,"Data Analytics Manager","L","FT",NA,NA,130000,NA
2021,"Data Analytics Manager","M","FT",NA,NA,120000,NA
2021,"Data Architect","L","FT",NA,166666.666666667,NA,NA
2021,"Data Engineer","L","FT",57079.5,93573.6428571429,153880.333333333,NA
2021,"Data Engineer","M","FT",43325,77647,142825.333333333,NA
2021,"Data Engineer","L","FL",NA,20000,NA,NA
2021,"Data Engineer","L","PT",NA,69741,NA,NA
2021,"Data Engineer","S","FT",NA,66022,95916.5,NA
2021,"Data Scientist","L","FT",53011.6,92061.9333333333,116702.153846154,181837.666666667
2021,"Data Scientist","M","FT",64511.25,85904.5714285714,77684,107513
2021,"Data Scientist","S","FT",89208.25,58734,127869,69741
2021,"Data Specialist","L","FT",NA,NA,165000,NA
2021,"Finance Data Analyst","L","FT",NA,NA,61896,NA
2021,"Head of Data","L","FT",NA,NA,102839,232500
2021,"Lead Data Analyst","L","FT",NA,19609,170000,NA
2021,"Lead Data Engineer","L","FT",NA,NA,276000,NA
2021,"Lead Data Engineer","S","FT",NA,NA,131580,NA
2021,"Lead Data Scientist","L","FT",NA,NA,40570,NA
2021,"Machine Learning Developer","L","FT",15000,NA,NA,NA
2021,"Machine Learning Developer","S","FT",1e+05,NA,NA,NA
2021,"Machine Learning Developer","M","FL",NA,NA,60000,NA
2021,"Machine Learning Engineer","M","FT",23333.5,88654,82744,NA
2021,"Machine Learning Engineer","S","FT",77750,65589.25,256000,NA
2021,"Machine Learning Engineer","L","CT",NA,270000,NA,NA
2021,"Machine Learning Engineer","L","FT",NA,40828,114034.2,NA
2021,"Machine Learning Infrastructure Engineer","M","FT",NA,NA,195000,NA
2021,"Machine Learning Research Engineer","M","FT",20000,NA,NA,NA
2021,"Machine Learning Scientist","L","FT",225000,NA,225000,NA
2021,"Machine Learning Scientist","S","FT",NA,NA,120000,NA
